Epoch,Accuracy
1,0.4308
2,0.5670
3,0.6337
4,0.6734
5,0.6988
6,0.7221
7,0.7362
8,0.7473
9,0.7592
10,0.7691
11,0.7775
12,0.7831
13,0.7910
14,0.7968
15,0.8032
16,0.8056
17,0.8109
18,0.8159
19,0.8195
20,0.8238
21,0.8254
22,0.8278
23,0.8325
24,0.8315
25,0.8366
26,0.8381
27,0.8420
28,0.8441
29,0.8463
30,0.8487
31,0.8497
32,0.8518
33,0.8548
34,0.8548
35,0.8572
36,0.8580
37,0.8621
38,0.8625
39,0.8624
40,0.8663
41,0.8667
42,0.8683
43,0.8680
44,0.8696
45,0.8702
46,0.8728
47,0.8731
48,0.8741
49,0.8768
50,0.8790
51,0.8780
52,0.8787
53,0.8810
54,0.8816
55,0.8829
56,0.8828
57,0.8845
58,0.8859
59,0.8881
60,0.8872
61,0.8854
62,0.8894
63,0.8889
64,0.8891
65,0.8912
66,0.8897
67,0.8913
68,0.8931
69,0.8928
70,0.8940
71,0.8945
72,0.8957
73,0.8960
74,0.8960
75,0.8984
76,0.8963
77,0.8985
78,0.8973
79,0.9002
80,0.8990
81,0.8994
82,0.9028
83,0.8989
84,0.9017
85,0.9004
86,0.9034
87,0.9047
88,0.9044
89,0.9041
90,0.9060
91,0.9052
92,0.9058
93,0.9050
94,0.9068
95,0.9088
96,0.9072
97,0.9096
98,0.9080
99,0.9112
100,0.9110
