Epoch,Accuracy
1,0.3110
2,0.4230
3,0.4695
4,0.5041
5,0.5287
6,0.5538
7,0.5729
8,0.5877
9,0.6006
10,0.6129
11,0.6262
12,0.6347
13,0.6415
14,0.6501
15,0.6586
16,0.6649
17,0.6721
18,0.6737
19,0.6804
20,0.6833
21,0.6862
22,0.6903
23,0.6927
24,0.6986
25,0.7003
26,0.7023
27,0.7051
28,0.7076
29,0.7087
30,0.7136
31,0.7138
32,0.7129
33,0.7136
34,0.7178
35,0.7181
36,0.7198
37,0.7188
38,0.7224
39,0.7247
40,0.7229
41,0.7248
42,0.7253
43,0.7257
44,0.7272
45,0.7293
46,0.7274
47,0.7292
48,0.7304
49,0.7277
50,0.7288
51,0.7316
52,0.7268
53,0.7326
54,0.7331
55,0.7303
56,0.7288
57,0.7338
58,0.7344
59,0.7329
60,0.7372
61,0.7345
62,0.7333
63,0.7359
64,0.7377
65,0.7357
66,0.7319
67,0.7354
68,0.7347
69,0.7327
70,0.7326
71,0.7336
72,0.7320
73,0.7352
74,0.7348
75,0.7335
76,0.7337
77,0.7328
78,0.7347
79,0.7320
80,0.7346
81,0.7327
82,0.7327
83,0.7301
84,0.7309
85,0.7308
86,0.7299
87,0.7310
88,0.7295
89,0.7290
90,0.7293
91,0.7304
92,0.7297
93,0.7269
94,0.7268
95,0.7276
96,0.7258
97,0.7239
98,0.7271
99,0.7236
100,0.7249
