Epoch,Validation Accuracy
1,0.4265
2,0.4813
3,0.5360
4,0.5600
5,0.5868
6,0.6067
7,0.5852
8,0.6387
9,0.6435
10,0.6485
11,0.6743
12,0.6575
13,0.6914
14,0.6917
15,0.7086
16,0.7072
17,0.7092
18,0.6823
19,0.6910
20,0.6978
21,0.7071
22,0.7271
23,0.7341
24,0.7319
25,0.7328
26,0.7393
27,0.7442
28,0.7466
29,0.7450
30,0.7492
31,0.7467
32,0.7603
33,0.7373
34,0.7637
35,0.7516
36,0.7666
37,0.7559
38,0.7527
39,0.7588
40,0.7733
41,0.7517
42,0.7579
43,0.7633
44,0.7540
45,0.7752
46,0.7700
47,0.7513
48,0.7709
49,0.7553
50,0.7328
51,0.7517
52,0.7584
53,0.7714
54,0.7612
55,0.7768
56,0.7622
57,0.7713
58,0.7715
59,0.7702
60,0.7627
61,0.7541
62,0.7742
63,0.7661
64,0.7697
65,0.7677
66,0.7575
67,0.7696
68,0.7544
69,0.7577
70,0.7705
71,0.7535
72,0.7610
73,0.7506
74,0.7716
75,0.7603
76,0.7522
77,0.7768
78,0.7509
79,0.7619
80,0.7518
81,0.7635
82,0.7756
83,0.7458
84,0.7765
85,0.7723
86,0.7178
87,0.7417
88,0.7610
89,0.7559
90,0.7341
91,0.7187
92,0.7426
93,0.7559
94,0.7546
95,0.7308
96,0.7683
97,0.7554
98,0.7760
99,0.7192
100,0.7499
