Epoch,Accuracy
1,0.4419
2,0.5643
3,0.6032
4,0.6271
5,0.6436
6,0.6571
7,0.6672
8,0.6768
9,0.6828
10,0.6874
11,0.6946
12,0.6979
13,0.7016
14,0.7072
15,0.7080
16,0.7110
17,0.7132
18,0.7163
19,0.7186
20,0.7209
21,0.7247
22,0.7261
23,0.7249
24,0.7305
25,0.7310
26,0.7334
27,0.7329
28,0.7324
29,0.7350
30,0.7366
31,0.7376
32,0.7367
33,0.7382
34,0.7417
35,0.7411
36,0.7428
37,0.7427
38,0.7436
39,0.7439
40,0.7460
41,0.7468
42,0.7485
43,0.7487
44,0.7478
45,0.7527
46,0.7525
47,0.7508
48,0.7497
49,0.7499
50,0.7543
51,0.7518
52,0.7512
53,0.7537
54,0.7557
55,0.7541
56,0.7564
57,0.7567
58,0.7568
59,0.7577
60,0.7573
61,0.7557
62,0.7605
63,0.7595
64,0.7599
65,0.7598
66,0.7610
67,0.7601
68,0.7610
69,0.7619
70,0.7616
71,0.7627
72,0.7594
73,0.7652
74,0.7623
75,0.7612
76,0.7631
77,0.7664
78,0.7633
79,0.7637
80,0.7648
81,0.7669
82,0.7643
83,0.7671
84,0.7672
85,0.7653
86,0.7656
87,0.7685
88,0.7674
89,0.7658
90,0.7668
91,0.7677
92,0.7676
93,0.7674
94,0.7685
95,0.7681
96,0.7674
97,0.7702
98,0.7707
99,0.7707
100,0.7688
