Epoch,Validation Accuracy
1,0.5419
2,0.6351
3,0.6596
4,0.6531
5,0.6665
6,0.6896
7,0.7091
8,0.7176
9,0.7039
10,0.7141
11,0.7326
12,0.7203
13,0.7404
14,0.7387
15,0.7273
16,0.7343
17,0.7400
18,0.7425
19,0.7355
20,0.7434
21,0.7578
22,0.7550
23,0.7550
24,0.7509
25,0.7619
26,0.7521
27,0.7659
28,0.7617
29,0.7653
30,0.7625
31,0.7656
32,0.7602
33,0.7635
34,0.7647
35,0.7565
36,0.7690
37,0.7704
38,0.7764
39,0.7663
40,0.7718
41,0.7735
42,0.7721
43,0.7683
44,0.7771
45,0.7774
46,0.7774
47,0.7759
48,0.7760
49,0.7730
50,0.7719
51,0.7803
52,0.7768
53,0.7735
54,0.7764
55,0.7804
56,0.7811
57,0.7821
58,0.7816
59,0.7782
60,0.7835
61,0.7773
62,0.7794
63,0.7845
64,0.7832
65,0.7798
66,0.7817
67,0.7784
68,0.7843
69,0.7848
70,0.7829
71,0.7846
72,0.7854
73,0.7852
74,0.7796
75,0.7844
76,0.7823
77,0.7851
78,0.7795
79,0.7809
80,0.7806
81,0.7870
82,0.7844
83,0.7875
84,0.7812
85,0.7824
86,0.7837
87,0.7842
88,0.7901
89,0.7826
90,0.7834
91,0.7898
92,0.7888
93,0.7837
94,0.7841
95,0.7887
96,0.7876
97,0.7904
98,0.7904
99,0.7858
100,0.7873
