Episode,Average Reward
0,-0.761808
1,-0.723116
2,-0.687068
3,-0.765216
4,-0.69868
5,-0.731224
6,-0.757332
7,-0.754976
8,-0.720564
9,-0.7718079999999999
10,-0.776988
11,-0.710304
12,-0.75498
13,-0.805836
14,-0.730348
15,-0.757996
16,-0.746916
17,-0.709404
18,-0.711152
19,-0.6986720000000001
20,-0.764696
21,-0.726052
22,-0.777388
23,-0.796308
24,-0.755588
25,-0.7357279999999999
26,-0.719024
27,-0.787972
28,-0.722544
29,-0.758532
30,-0.696932
31,-0.756968
32,-0.78622
33,-0.764368
34,-0.819148
35,-0.7616
36,-0.710356
37,-0.7067640000000001
38,-0.754356
39,-0.721188
40,-0.81208
41,-0.794944
42,-0.7809
43,-0.790936
44,-0.8056840000000001
45,-0.7556039999999999
46,-0.789604
47,-0.712584
48,-0.69558
49,-0.7839079999999999
50,-0.738604
51,-0.7783680000000001
52,-0.7230840000000001
53,-0.6816800000000001
54,-0.7470680000000001
55,-0.721696
56,-0.7196319999999999
57,-0.755768
58,-0.8114
59,-0.730452
60,-0.724364
61,-0.74168
62,-0.757424
63,-0.707284
64,-0.71202
65,-0.730288
66,-0.7568199999999999
67,-0.748308
68,-0.756332
69,-0.67578
70,-0.774328
71,-0.74212
72,-0.809716
73,-0.7692319999999999
74,-0.799888
75,-0.745476
76,-0.802504
77,-0.674048
78,-0.722112
79,-0.7341479999999999
80,-0.764364
81,-0.707172
82,-0.7518560000000001
83,-0.776016
84,-0.7590560000000001
85,-0.718204
86,-0.712892
87,-0.68802
88,-0.6958439999999999
89,-0.762016
90,-0.7184
91,-0.72822
92,-0.7390800000000001
93,-0.672188
94,-0.702164
95,-0.6945479999999999
96,-0.7429600000000001
97,-0.8076399999999999
98,-0.747784
99,-0.773204
